id;PartitionKey;RequestCharge;requestSizeInBytes;requestBodySizeInBytes;responseMetadataSizeInBytes;responseBodySizeInBytes;
984931d8-5226-4b9c-9ccf-408ec5ed3abf;8917;185.52;305282;304867;127;174;
c52ff9f2-8ca9-4409-bfda-52db4fe3bbb6;8918;185.52;305271;304856;127;174;
59dbadbe-bb61-40b7-b451-8813e6c1d7ab;8919;185.52;305322;304907;127;174;
d8ec1cb5-655e-400d-915e-c6e0d7cf67f7;8920;185.52;305373;304960;127;174;
fcd9f961-7b08-43e6-afce-7274990c53ac;8921;185.52;305451;305038;127;174;
45fe58c0-d92b-4a5d-8772-bfc88ba5566d;8922;185.52;305456;305039;127;174;
33aaaed1-4e74-4d75-8285-7d2ff85a22f3;8923;185.52;305504;305087;127;174;
e321034e-3691-4fc0-a817-959b0d5dcd92;8924;185.52;305505;305092;127;174;
e0b82436-2e03-4622-a288-2aca1ac148bf;8925;185.52;305477;305064;127;174;
cc5759e9-bccb-4d35-897a-e5734e6c7d1c;8926;185.52;305504;305091;127;174;
d3ea1c01-4e83-4d2d-8e12-378b25102921;8927;185.52;305566;305149;127;174;
06ebaadf-eef4-4eae-858c-97835cbacc84;8928;185.52;305629;305212;127;174;
ff895dc3-6f8c-4306-807a-988816842698;8929;185.52;305642;305223;127;174;
0c048d11-fcf0-4b6d-88cd-10e965ce921b;8930;185.52;305619;305200;127;174;
4d1b980b-ec8c-45e1-9e62-7cec8a69fcad;8931;185.52;305679;305260;127;174;
7b2f6b0a-4bde-4600-b1d9-f378e45dc6bc;8932;185.52;305545;305128;127;174;
343be0d4-da6d-475c-ae17-2b171d37e0d8;8933;185.52;305510;305093;127;174;
e913d538-056a-4eff-aadf-7d4ad33bb6be;8934;185.52;305543;305128;127;174;
951afb07-09cf-4a2f-8daf-b30fb18c7f39;8935;185.52;305653;305238;127;174;
fffb83f0-1923-4c66-98ef-6e0761de129b;8936;185.52;305565;305150;127;174;
97868717-4ab5-490a-b34a-b0048ff3ca3b;8937;185.52;305489;305074;127;174;
2140d3a3-5bb1-41fa-99fa-b33a4e721dd6;8938;185.52;305546;305131;127;174;
